day,equity,profit,r
0,27000,0,100
0,27038.363636363636,38.36363636363603,40
1,27077.463157024795,77.46315702479478,40.76727272727272
2,27117.31267758227,117.31267758227114,41.549263140495896
3,27157.926584397712,157.92658439771185,42.346253551645425
4,27199.31953978934,199.31953978933961,43.15853168795424
5,27241.5064873253,241.50648732529953,43.98639079578679
6,27284.502657218538,284.50265721853793,44.83012974650599
7,27328.323571825185,328.32357182518535,45.69005314437076
8,27372.98505124838,372.985051248379,46.566471436503704
9,27418.5032190496,418.50321904959856,47.45970102496758
10,27464.89450806955,464.89450806954846,48.37006438099197
11,27512.1756663607,512.1756663607011,49.29789016139097
12,27560.36376323362,560.3637632336213,50.243513327214025
13,27609.476195419284,609.4761954192836,51.207275264672425
14,27659.5306933496,659.5306933495995,52.189523908385674
15,27710.545327558397,710.5453275583968,53.19061386699199
16,27762.5385152052,762.5385152052004,54.21090655116794
17,27815.529026724136,815.5290267241362,55.25077030410401
18,27869.53599260039,869.5359926003912,56.310580534482725
19,27924.578910276636,924.5789102766357,57.39071985200783
20,27980.67765119194,980.6776511919415,58.49157820553271
21,28037.852467955716,1037.8524679557158,59.61355302383883
22,28096.12400165923,1096.124001659231,60.75704935911432
23,28155.51328932742,1155.5132893274204,61.92248003318462
24,28216.04177151361,1216.04177151361,63.11026578654841
25,28277.731300039915,1277.7313000399154,64.3208354302722
26,28340.604145886136,1340.6041458861364,65.55462600079831
27,28404.683007229953,1404.6830072299526,66.81208291772273
28,28469.991017641365,1469.991017641365,68.09366014459906
29,28536.551754434306,1536.5517544343056,69.3998203528273
30,28604.389247178453,1604.389247178453,70.73103508868611
31,28673.52798637433,1673.5279863743308,72.08778494356906
32,28743.992932294783,1743.9929322947828,73.47055972748662
33,28815.809523996075,1815.8095239960749,74.87985864589565
34,28889.003688501816,1889.0036885018162,76.3161904799215
35,28963.60185016308,1963.6018501630788,77.78007377003632
36,29039.630940198025,2039.6309401980252,79.27203700326157
37,29117.118406414553,2117.1184064145527,80.79261880396051
38,29196.092223119413,2196.0922231194127,82.34236812829106
39,29276.580901217432,2276.5809012174323,83.92184446238825
40,29358.613498504423,2358.6134985044228,85.53161802434865
41,29442.219630157553,2442.219630157553,87.17226997008845
42,29527.429479426937,2527.429479426937,88.84439260315106
43,29614.273808532307,2614.273808532307,90.54858958853875
44,29702.7839697687,2702.7839697687014,92.28547617064615
45,29792.991916825173,2792.9919168251727,94.05567939537403
46,29884.930216320638,2884.9302163206376,95.85983833650346
47,29978.63205956097,2978.6320595609686,97.69860432641275
48,30074.13127452164,3074.1312745216383,99.57264119121938
49,30171.462338060188,3171.462338060188,101.48262549043277
50,30270.66038836298,3270.6603883629796,103.42924676120376
51,30371.761237630668,3371.761237630668,105.41320776725959
52,30474.80138500704,3474.8013850070383,107.43522475261335
53,30579.81802975581,3579.81802975581,109.49602770014077
54,30686.849084690217,3686.849084690217,111.59636059511621
55,30795.933189860185,3795.933189860185,113.73698169380434
56,30907.109726502047,3907.109726502047,115.91866379720369
57,31020.418831255858,4020.418831255858,118.14219453004094
58,31135.901410655402,4135.901410655402,120.40837662511716
59,31253.599155896154,4253.599155896154,122.71802821310804
60,31373.554557886528,4373.554557886528,125.07198311792308
61,31495.810922587807,4495.810922587807,127.47109115773056
62,31620.412386648353,4620.412386648353,129.91621845175615
63,31747.4039333377,4747.4039333377,132.40824773296706
64,31876.831408786267,4876.831408786267,134.94807866675401
65,32008.741538536622,5008.741538536622,137.53662817572535
66,32143.181944412187,5143.181944412187,140.17483077073246
67,32280.20116170955,5280.201161709549,142.86363888824374
68,32419.848656720522,5419.848656720522,145.60402323419098
69,32562.174844590343,5562.174844590343,148.39697313441044
70,32707.231107518393,5707.231107518393,151.24349689180687
71,32855.069813308066,5855.069813308066,154.14462215036787
72,33005.74433427243,6005.744334272429,157.10139626616132
73,33159.30906650257,6159.309066502567,160.1148866854486
74,33315.81944950548,6315.819449505478,163.18618133005134
75,33475.33198621872,6475.33198621872,166.31638899010954
76,33637.90426340891,6637.904263408913,169.5066397243744
77,33803.59497246157,6803.594972461571,172.75808526817826
78,33972.4639305697,6972.463930569698,176.0718994492314
79,34144.572102328806,7144.572102328806,179.44927861139396
80,34319.98162174621,7319.981621746207,182.89144204657612
81,34498.755814672426,7498.755814672426,186.39963243492414
82,34680.95922166296,7680.959221662961,189.9751162934485
83,34866.65762127849,7866.657621278493,193.61918443325922
84,35055.91805383211,8055.918053832109,197.33315242556986
85,35248.80884559198,8248.808845591979,201.11836107664217
86,35445.39963344833,8445.39963344833,204.9761769118396
87,35645.761390053565,8645.761390053565,208.9079926689666
88,35849.96644944459,8849.96644944459,212.9152278010713
89,36058.08853315666,9058.08853315666,216.9993289888918
90,36270.20277683812,9270.202776838123,221.1617706631332
91,36486.385757375654,9486.385757375654,225.40405553676246
92,36706.71552053986,9706.71552053986,229.7277151475131
93,36931.27160916112,9931.271609161122,234.13431041079718
94,37160.13509184594,10160.135091845943,238.62543218322244
95,37393.38859224408,10393.388592244082,243.20270183691886
96,37631.116318877124,10631.116318877124,247.86777184488164
97,37873.40409553922,10873.40409553922,252.6223263775425
98,38120.33939228093,11120.339392280926,257.4680819107844
99,38372.01135698741,11372.011356987408,262.4067878456185
100,38628.51084756235,11628.51084756235,267.4402271397482
101,38889.93046472923,11889.93046472923,272.570216951247
102,39156.364585461764,12156.364585461764,277.7986092945846
103,39427.90939705562,12427.90939705562,283.1272917092353
104,39704.66293185369,12704.662931853687,288.5581879411124
105,39986.72510263743,12986.725102637429,294.09325863707375
106,40274.19773869711,13274.197738697112,299.73450205274855
107,40567.18462259394,13567.184622593937,305.48395477394223
108,40865.79152762733,13865.791527627327,311.3436924518787
109,41170.12625602091,14170.126256020907,317.3158305525465
110,41480.29867784095,14480.298677840947,323.40252512041815
111,41796.42077066135,14796.420770661352,329.6059735568189
112,42118.60665998949,15118.606659989491,335.92841541322707
113,42446.97266046747,15446.972660467472,342.3721331997898
114,42781.637317863715,15781.637317863715,348.93945320934944
115,43122.72145187001,16122.721451870013,355.6327463572743
116,43470.34819971952,16470.34819971952,362.45442903740025
117,43824.643060641414,16824.643060641414,369.40696399439037
118,44185.73394116826,17185.733941168262,376.4928612128283
119,44553.75120131249,17553.751201312487,383.71467882336526
120,44928.82770162857,17928.827701628572,391.07502402624976
121,45311.098851177994,18311.098851177994,398.57655403257144
122,45700.70265641423,18700.70265641423,406.2219770235599
123,46097.779771005444,19097.779771005444,414.01405312828456
124,46502.47354661291,19502.473546612913,421.95559542010886
125,46914.9300846434,19914.930084643398,430.04947093225826
126,47335.29828899429,20335.298288994287,438.298601692868
127,47763.72991981045,20763.729919810452,446.70596577988573
128,48200.37964827227,21200.37964827227,455.27459839620906
129,48645.40511243458,21645.40511243458,464.0075929654454
130,49098.96697413673,22098.966974136732,472.9081022486916
131,49561.22897700426,22561.228977004263,481.97933948273464
132,50032.35800556316,23032.35800556316,491.22457954008524
133,50512.52414548805,23512.524145488052,500.64716011126325
134,51001.90074500605,24001.900745006053,510.25048290976105
135,51500.66447747844,24500.664477478444,520.0380149001211
136,52008.9954051828,25008.995405182803,530.0132895495689
137,52527.07704431858,25527.077044318583,540.1799081036561
138,53055.096431259604,26055.096431259604,550.5415408863716
139,53593.2441900774,26593.2441900774,561.101928625192
140,54141.714601359796,27141.714601359796,571.864883801548
141,54700.70567234952,27700.70567234952,582.8342920271959
142,55270.419208428226,28270.419208428226,594.0141134469903
143,55851.06088597171,28851.06088597171,605.4083841685646
144,56442.84032660262,29442.84032660262,617.0212177194342
145,57045.97117286745,30045.971172867452,628.8568065320525
146,57660.67116536518,30660.67116536518,640.919423457349
147,58287.162221355364,31287.162221355364,653.2134233073036
148,58925.67051487409,31925.670514874088,665.7432444271072
149,59576.42655838667,32576.426558386673,678.5134102974818
150,60239.66528600664,33239.66528600664,691.5285311677335
151,60915.626138310945,33915.626138310945,704.7933057201328
152,61604.55314878218,34604.55314878218,718.3125227662189
153,62306.69503190882,35306.69503190882,732.0910629756436
154,63022.305272975434,36022.305272975434,746.1339006381764
155,63751.64221957524,36751.64221957524,760.4461054595087
156,64494.969174878,37494.969174878,775.0328443915048
157,65252.55449268703,38252.55449268703,789.89938349756
158,66024.67167431948,39024.671674319485,805.0510898537406
159,66811.59946734506,39811.59946734506,820.4934334863897
160,67613.62196621868,40613.62196621868,836.2319893469013
161,68431.02871484341,41431.028714843414,852.2724393243735
162,69264.11481110087,42264.114811100866,868.6205742968683
163,70113.18101338652,43113.18101338652,885.2822962220173
164,70978.53384918875,43978.53384918875,902.2636202677304
165,71860.48572575046,44860.48572575046,919.570676983775
166,72759.3550428535,45759.355042853495,937.2097145150093
167,73675.46630776642,46675.466307766415,955.1871008570699
168,74609.1502523972,47609.1502523972,973.5093261553283
169,75560.74395269318,48560.743952693185,992.183005047944
170,76530.59095033121,49530.590950331214,1011.2148790538637
171,77519.04137674211,50519.04137674211,1030.6118190066243
172,78526.45207951417,51526.45207951417,1050.3808275348422
173,79553.18675122122,52553.18675122122,1070.5290415902834
174,80599.61606072192,53599.61606072192,1091.0637350244244
175,81666.11778697759,54666.117786977586,1111.9923212144383
176,82753.07695543689,55753.07695543689,1133.3223557395518
177,83860.88597703664,56860.88597703664,1155.0615391087379
178,84989.94478986888,57989.94478986888,1177.2177195407328
179,86140.66100356546,59140.66100356546,1199.7988957973776
180,87313.45004645204,60313.45004645204,1222.8132200713092
181,88508.73531552489,61508.735315524886,1246.2690009290409
182,89726.9483293045,62726.948329304505,1270.1747063104976
183,90968.52888362117,63968.52888362117,1294.53896658609
184,92233.92521038881,65233.925210388814,1319.3705776724235
185,93523.59413942446,66523.59413942446,1344.6785042077763
186,94838.0012633716,67838.0012633716,1370.4718827884892
187,96177.62110578718,69177.62110578718,1396.760025267432
188,97542.93729245274,70542.93729245274,1423.5524221157436
189,98934.4427259716,71934.4427259716,1450.858745849055
190,100352.63976371524,73352.63976371524,1478.688854519432
191,101798.04039918286,74798.04039918286,1507.0527952743048
192,103271.16644683992,76271.16644683992,1535.9608079836573
193,104772.54973050204,77772.54973050204,1565.4233289367985
194,106302.73227533259,79302.73227533259,1595.4509946100409
195,107862.26650352306,80862.26650352306,1626.0546455066517
196,109451.715433727,82451.715433727,1657.2453300704613
197,111071.65288431941,84071.65288431941,1689.0343086745402
198,112722.663680555,85722.663680555,1721.433057686388
199,114405.34386570018,87405.34386570018,1754.4532736110998
200,116120.30091621498,89120.30091621498,1788.1068773140037
201,117868.15396106237,90868.15396106237,1822.4060183242996
202,119649.53400522457,92649.53400522457,1857.3630792212475
203,121465.08415750662,94465.08415750662,1892.9906801044915
204,123315.4598627097,96315.4598627097,1929.3016831501322
205,125201.32913825804,98201.32913825804,1966.309197254194
206,127123.37281536462,100123.37281536462,2004.0265827651608
207,129082.28478482299,102082.28478482299,2042.4674563072924
208,131078.77224751367,104078.77224751367,2081.64569569646
209,133113.55596971596,106113.55596971596,2121.5754449502733
210,135187.37054331688,108187.37054331688,2162.271119394319
211,137300.96465101143,110300.96465101143,2203.7474108663378
212,139455.10133658993,112455.10133658993,2246.0192930202284
213,141650.55828040998,114650.55828040998,2289.1020267317986
214,143888.12808015238,116888.12808015238,2333.0111656081995
215,146168.61853696257,119168.61853696257,2377.7625616030477
216,148492.85294708068,121492.85294708068,2423.3723707392514
217,150861.6703990656,123861.6703990656,2469.8570589416136
218,153275.9260767204,126275.92607672041,2517.2334079813118
219,155736.4915678284,128736.4915678284,2565.518521534408
220,158244.2551788113,131244.2551788113,2614.729831356568
221,160800.12225542305,133800.12225542305,2664.885103576226
222,163405.01550959525,136405.01550959525,2716.002445108461
223,166059.87535255204,139059.87535255204,2768.100310191905
224,168765.66023431462,141765.66023431462,2821.1975070510407
225,171523.3469897183,144523.3469897183,2875.3132046862925
226,174333.93119106654,147333.93119106654,2930.4669397943658
227,177198.42750754973,150198.42750754973,2986.678623821331
228,180117.8700715582,153117.8700715582,3043.9685501509944
229,183093.3128520217,156093.3128520217,3102.357401431164
230,186125.8300349105,159125.8300349105,3161.8662570404344
231,189216.51641103468,162216.51641103468,3222.51660069821
232,192366.4877712827,165366.4877712827,3284.3303282206934
233,195576.88130944094,168576.88130944094,3347.329755425654
234,198848.8560327402,171848.8560327402,3411.5376261888186
235,202183.59318027733,175183.59318027733,3476.9771206548044
236,205582.29664946266,178582.29664946266,3543.6718636055466
237,209046.1934306478,182046.1934306478,3611.645932989253
